city_name,city_id,lst_coverage,ndvi_coverage,ndvi_cloud_fraction,sentinel_item_count,landsat_item_count,scene_mean_ndvi,scene_mean_lst,pearson_correlation,linear_regression_slope,path
Washington,4140963,0.997715846245258,1.0,,3,1,0.33879933,36.83192,-0.49468577,-12.145017075743366,saved_observations/collections/washington_dc.pkl
Los Angeles,5368361,1.0,1.0,,1,1,0.17711835,48.190014,-0.5545237,-15.857794064199068,saved_observations/collections/los_angeles.pkl
Paris,2988507,1.0,1.0,,2,3,0.27080506,37.27713,-0.64718604,-16.667192864889127,saved_observations/collections/paris.pkl
Beijing,1816670,1.0,1.0,,1,2,0.23360598,38.83504,-0.47922334,-10.820213757951368,saved_observations/collections/bejing.pkl
Rio de Janeiro,3451190,0.9924025321084144,1.0,,2,1,0.1653752,21.923252,0.27430785,10.075300650295324,saved_observations/collections/rio.pkl
Tokyo,1850147,1.0,1.0,,1,2,0.122124135,50.29555,0.09628606,5.776003812367213,saved_observations/collections/tokyo.pkl
Stockholm,2673730,0.6083297166594333,1.0,,2,5,0.2765353,29.417124,0.51883674,14.494430768923646,saved_observations/collections/stockholm.pkl
Cairo,360630,1.0,1.0,,1,2,0.1236367,47.109924,-0.38231838,-12.617641280212014,saved_observations/collections/cairo.pkl
Nairobi,184745,0.9957413342830009,1.0,,1,1,0.31643507,31.428493,-0.70150113,-19.50717882425965,saved_observations/collections/nairobi.pkl
Casablanca,2553604,1.0,1.0,,1,1,0.08326542,38.568024,0.79453707,95.52704894011976,saved_observations/collections/casablanca.pkl
Seoul,1835848,0.9994663832899127,1.0,,2,1,0.12606485,32.876434,-0.40193668,-23.540539732352663,saved_observations/collections/seoul.pkl
Shanghai,1796236,1.0,1.0,,1,2,0.17428297,48.741695,-0.18327767,-5.226118821929458,saved_observations/collections/shanghai.pkl
Sydney,2147714,0.9233134512546277,1.0,,1,3,0.17489092,10.402893,0.23845154,7.6715572652724155,saved_observations/collections/sydney.pkl
New York City,5128581,1.0,1.0,,2,3,0.13724494,34.023586,0.23995362,8.2850526485232,saved_observations/collections/new_york.pkl
Chicago,4887398,1.0,1.0,,1,1,0.13072528,33.234432,0.53535587,26.456000694155893,saved_observations/collections/chicago.pkl
